# wavelength_A flux_erg/s/cm2/A
# # Teff=5777 logg=4.44 [M/H]=0.0
8.829700e+03 3.746096e+06
8.890966e+03 4.274142e+06
8.952657e+03 3.613421e+06
9.014776e+03 3.813030e+06
9.077327e+03 3.560741e+06
9.140311e+03 3.752620e+06
9.203732e+03 3.486326e+06
9.267593e+03 3.415640e+06
9.331898e+03 3.496522e+06
9.396648e+03 3.420628e+06
9.461848e+03 3.708022e+06
9.527500e+03 3.280310e+06
9.593608e+03 3.403884e+06
9.660175e+03 3.429175e+06
9.727203e+03 3.512630e+06
9.794697e+03 3.252602e+06
9.862658e+03 3.115183e+06
9.931092e+03 2.973008e+06
1.000000e+04 2.842940e+06
1.006939e+04 3.165446e+06
1.013925e+04 2.854871e+06
1.020961e+04 2.768953e+06
1.028045e+04 2.954284e+06
1.035178e+04 2.832677e+06
1.042361e+04 2.823635e+06
1.049593e+04 2.740438e+06
1.056876e+04 2.867619e+06
1.064209e+04 2.674316e+06
1.071593e+04 2.835640e+06
1.079029e+04 2.582970e+06
1.086516e+04 2.708601e+06
1.094055e+04 2.159129e+06
1.101646e+04 2.437496e+06
1.109290e+04 2.393283e+06
1.116987e+04 2.176052e+06
1.124737e+04 2.152074e+06
1.132541e+04 2.500706e+06
1.140400e+04 2.235770e+06
1.148312e+04 2.178790e+06
1.156280e+04 2.225377e+06
1.164303e+04 2.031311e+06
1.172382e+04 2.313651e+06
1.180517e+04 2.304866e+06
1.188708e+04 2.159710e+06
1.196956e+04 2.132312e+06
1.205261e+04 2.029332e+06
1.213624e+04 1.984200e+06
1.222045e+04 2.033605e+06
1.230524e+04 2.109311e+06
1.239062e+04 2.129918e+06
1.247660e+04 1.894807e+06
1.256317e+04 1.924773e+06
1.265034e+04 1.834676e+06
1.273811e+04 1.939361e+06
1.282650e+04 1.697131e+06
1.291550e+04 1.898483e+06
1.300511e+04 1.677144e+06
1.309535e+04 1.671729e+06
1.318621e+04 1.760858e+06
1.327771e+04 1.794794e+06
1.336984e+04 1.712152e+06
1.346261e+04 1.493364e+06
1.355602e+04 1.681715e+06
1.365008e+04 1.522503e+06
1.374479e+04 1.546518e+06
1.384016e+04 1.641654e+06
1.393619e+04 1.581755e+06
1.403289e+04 1.378250e+06
1.413026e+04 1.504230e+06
1.422830e+04 1.547967e+06
1.432703e+04 1.405020e+06
1.442644e+04 1.310764e+06
1.452654e+04 1.332955e+06
1.462733e+04 1.408426e+06
1.472883e+04 1.268935e+06
1.483103e+04 1.316975e+06
1.493393e+04 1.145096e+06
1.503755e+04 1.195588e+06
1.514189e+04 1.372361e+06
1.524696e+04 1.195063e+06
1.535275e+04 1.273194e+06
1.545928e+04 1.187320e+06
1.556654e+04 1.182586e+06
1.567455e+04 1.074851e+06
1.578331e+04 1.155728e+06
1.589283e+04 1.044658e+06
1.600310e+04 1.083900e+06
1.611414e+04 1.128857e+06
1.622595e+04 1.033558e+06
1.633854e+04 9.927917e+05
1.645191e+04 9.945853e+05
1.656606e+04 1.089338e+06
1.668101e+04 8.953493e+05
1.679675e+04 9.923536e+05
1.691330e+04 9.494046e+05
1.703065e+04 9.226649e+05
1.714882e+04 8.921376e+05
1.726781e+04 9.056268e+05
1.738762e+04 7.824635e+05
1.750827e+04 8.240131e+05
1.762975e+04 8.537968e+05
1.775208e+04 8.265520e+05
1.787526e+04 7.785011e+05
1.799929e+04 7.797834e+05
1.812418e+04 7.753942e+05
1.824993e+04 7.407251e+05
1.837656e+04 7.076666e+05
1.850407e+04 6.901727e+05
1.863246e+04 6.887708e+05
1.876175e+04 5.702952e+05
1.889193e+04 6.517073e+05
1.902301e+04 6.555511e+05
1.915501e+04 5.873843e+05
1.928792e+04 5.480836e+05
1.942175e+04 5.773324e+05
1.955651e+04 6.159657e+05
1.969220e+04 4.913209e+05
1.982884e+04 5.123830e+05
1.996642e+04 5.706547e+05
2.010496e+04 5.170328e+05
2.024447e+04 5.476522e+05
2.038493e+04 4.767622e+05
2.052638e+04 4.903304e+05
2.066880e+04 4.635242e+05
2.081222e+04 4.461440e+05
2.095662e+04 5.119680e+05
2.110203e+04 4.723386e+05
2.124845e+04 4.708981e+05
2.139589e+04 4.113189e+05
2.154435e+04 3.971994e+05
2.169384e+04 3.821009e+05
2.184436e+04 4.282870e+05
2.199593e+04 4.327368e+05
2.214855e+04 4.013112e+05
2.230223e+04 3.949277e+05
2.245698e+04 3.187263e+05
2.261280e+04 4.164201e+05
2.276970e+04 3.858454e+05
2.292769e+04 3.570607e+05
2.308678e+04 3.513706e+05
2.324697e+04 2.877895e+05
2.340827e+04 3.360290e+05
2.357069e+04 3.246536e+05
2.373424e+04 2.955128e+05
2.389893e+04 2.708279e+05
2.406475e+04 2.830774e+05
2.423173e+04 2.595171e+05
2.439986e+04 2.456631e+05
2.456916e+04 2.360806e+05
2.473964e+04 2.343418e+05
2.491130e+04 2.360417e+05
2.508415e+04 2.334888e+05
2.525820e+04 2.263469e+05
2.543346e+04 2.128025e+05
2.560993e+04 2.237529e+05
2.578763e+04 2.165698e+05
2.596656e+04 1.943868e+05
2.614673e+04 2.061242e+05
2.632815e+04 1.906443e+05
2.651084e+04 1.916833e+05
2.669478e+04 1.817719e+05
2.688001e+04 1.654941e+05
2.706652e+04 1.647582e+05
2.725433e+04 1.641852e+05
2.744343e+04 1.582726e+05
2.763385e+04 1.669658e+05
2.782559e+04 1.468669e+05
2.801867e+04 1.554036e+05
2.821308e+04 1.526034e+05
2.840884e+04 1.467647e+05
2.860596e+04 1.482722e+05
2.880444e+04 1.442237e+05
2.900430e+04 1.304712e+05
2.920556e+04 1.339229e+05
2.940820e+04 1.310723e+05
2.961225e+04 1.280903e+05
2.981772e+04 1.309294e+05
3.002462e+04 1.153132e+05
3.023295e+04 1.134887e+05
3.044272e+04 1.164265e+05
3.065395e+04 1.078094e+05
3.086665e+04 1.113406e+05
3.108082e+04 1.087534e+05
3.129648e+04 1.044946e+05
3.151363e+04 1.029860e+05
3.173230e+04 9.796001e+04
3.195248e+04 9.956047e+04
3.217418e+04 9.914659e+04
3.239743e+04 9.208412e+04
3.262222e+04 8.869319e+04
3.284857e+04 7.814066e+04
3.307650e+04 9.514834e+04
3.330600e+04 8.832003e+04
3.353710e+04 8.489808e+04
3.376980e+04 8.610995e+04
3.400412e+04 7.916755e+04
3.424006e+04 7.757033e+04
3.447764e+04 7.575166e+04
3.471687e+04 7.529683e+04
3.495776e+04 7.097302e+04
3.520031e+04 6.936871e+04
3.544456e+04 7.054573e+04
3.569049e+04 6.747495e+04
3.593814e+04 6.337877e+04
3.618750e+04 6.127037e+04
3.643859e+04 6.465096e+04
3.669142e+04 6.100314e+04
3.694601e+04 6.050068e+04
3.720237e+04 5.643206e+04
3.746050e+04 5.535890e+04
3.772042e+04 5.746416e+04
3.798215e+04 5.455020e+04
3.824570e+04 5.078954e+04
3.851107e+04 4.791141e+04
3.877828e+04 4.805988e+04
